date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,g,grain_type,numpy_file,r_mean,g_mean,b_meanz
"2025-01-11,16:12:26",[  221] ,[ 1453] *,[  770] ,[ 1563] *,[ 1658] *,[ 1089] *,[  690] ,[  428] ,[ 1915] *,[   94] ,20250111_161226_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161226_foto_normalized.npy,0.1128,0.11257,0.11466
"2025-01-11,16:12:34",[  221] ,[ 1452] *,[  770] ,[ 1563] *,[ 1657] *,[ 1089] *,[  690] ,[  428] ,[ 1912] *,[   94] ,20250111_161234_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161234_foto_normalized.npy,0.11232,0.11352,0.11383
"2025-01-11,16:12:42",[  221] ,[ 1450] *,[  769] ,[ 1562] *,[ 1656] *,[ 1088] *,[  690] ,[  428] ,[ 1911] *,[   94] ,20250111_161242_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161242_foto_normalized.npy,0.11249,0.11368,0.11433
"2025-01-11,16:12:55",[  220] ,[ 1444] *,[  767] ,[ 1557] *,[ 1652] *,[ 1083] *,[  687] ,[  426] ,[ 1910] *,[   94] ,20250111_161255_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161255_foto_normalized.npy,0.11211,0.11345,0.11548
"2025-01-11,16:13:08",[  220] ,[ 1442] *,[  766] ,[ 1556] *,[ 1650] *,[ 1082] *,[  686] ,[  426] ,[ 1913] *,[   94] ,20250111_161308_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161308_foto_normalized.npy,0.11217,0.11284,0.1156
"2025-01-11,16:13:29",[  218] ,[ 1431] *,[  763] ,[ 1547] *,[ 1642] *,[ 1074] *,[  682] ,[  424] ,[ 1925] *,[   94] ,20250111_161329_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161329_foto_normalized.npy,0.11176,0.11315,0.11363
"2025-01-11,16:13:45",[  218] ,[ 1426] *,[  762] ,[ 1544] *,[ 1638] *,[ 1070] *,[  680] ,[  422] ,[ 1933] *,[   95] ,20250111_161345_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161345_foto_normalized.npy,0.11165,0.11319,0.11383
"2025-01-11,16:13:59",[  214] ,[ 1398] *,[  751] ,[ 1522] *,[ 1616] *,[ 1049] *,[  669] ,[  416] ,[ 1953] *,[   96] ,20250111_161359_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161359_foto_normalized.npy,0.11113,0.11209,0.11404
"2025-01-11,16:14:15",[  209] ,[ 1363] *,[  739] ,[ 1494] *,[ 1590] *,[ 1023] *,[  655] ,[  408] ,[ 1994] *,[   98] ,20250111_161415_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161415_foto_normalized.npy,0.11065,0.11254,0.11434
"2025-01-11,16:14:34",[  203] ,[ 1303] *,[  717] ,[ 1447] *,[ 1543] *,[  978] ,[  632] ,[  395] ,[ 2046] **,[  100] ,20250111_161434_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/fosfato/numpy_files/20250111_161434_foto_normalized.npy,0.11013,0.11148,0.11362
